120																																		
	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X3'	Y3'	Z3'	X6'	Y6'	Z6'									
1																																		
2	0.008	-693.31207	1210.54114	885.37683	-549.44135	713.1593	999.30341	149.51337	3605.16626	795.30603	0		1578.6889							842.82544														
3	0.017	-693.34137	1210.59021	885.37238	149.82562	3605.23462	795.7287													693.34137														
4	0.025	-693.31024	1210.46924	885.41833	-549.93768	713.32043	999.47955	150.20013	3605.56079	796.32312										843.51037														
5	0.033	-693.30054	1210.39258	885.45068	-549.21313	713.70581	999.1181	150.58333	3605.71948	796.60291										843.88387														
6	0.042	-693.34338	1210.43115	885.46954	-550.52423	713.43958	1000.01038	150.77042	3606.05542	797.04181										844.1138														
7	0.05	-693.3988	1210.60046	885.36853	150.918	3605.95972	797.76855													693.3988														
8	0.058	-693.33759	1210.56848	885.33881	151.00467	3606.25366	797.93384													693.33759														
9	0.067	-693.39813	1210.51794	885.41095	150.94969	3606.19336	798.31952	-548.12317	715.50543	998.37036										145.27496														
10	0.075	-693.34247	1210.39307	885.50073	-546.64246	715.25903	997.80463	151.0378	3606.24512	798.78784										844.38027														
11	0.083	-693.33514	1210.46313	885.48236	-548.33252	714.61292	998.60529	151.17145	3606.45532	799.38519										844.50659														
12	0.092	-693.31793	1210.52551	885.3587	151.37148	3606.47192	799.90155													693.31793														
13	0.1	-693.3244	1210.56262	885.36926	151.6544	3606.69946	800.55444													693.3244														
14	0.108	-693.34576	1210.46375	885.44073	151.92859	3606.82495	801.14331													693.34576														
15	0.117	-693.35614	1210.41211	885.46454	-550.58008	713.15015	999.77142	152.00388	3606.99072	801.58923										845.36002														
16	0.125	-693.31287	1210.50757	885.3761	-547.0625	715.17944	997.98999	151.95747	3607.20557	802.25793										845.27034														
17	0.133	-693.3313	1210.56445	885.35144	151.90215	3607.18066	802.75452													693.3313														
18	0.142	-693.36072	1210.55969	885.38458	151.94777	3607.14111	803.14124													693.36072														
19	0.15	-693.34229	1210.47717	885.43799	151.94962	3607.14893	803.93988	-548.33582	714.06647	999.03827										145.00647														
20	0.158	-693.31921	1210.422	885.50262	152.03674	3607.35083	804.39355													693.31921														
21	0.167	-693.35046	1210.56055	885.39801	-548.29364	714.02985	998.68719	152.35567	3607.51245	804.91046										845.70613														
22	0.175	-693.32233	1210.58228	885.33368	-547.0744	715.06207	998.01459	-717.6322	1089.49475	905.49426	152.7066	3607.65137	805.54993							-24.30987														
23	0.183	-693.36102	1210.5083	885.39355	-545.80463	716.76062	997.20959	152.88148	3607.75903	805.97473										846.2425														
24	0.192	-693.33557	1210.47375	885.41296	-547.12573	714.92719	998.05823	153.04099	3608.08936	806.20953										846.37656														
25	0.2	-693.34521	1210.46021	885.45703	-549.83282	713.27631	999.44403	153.29253	3607.6792	806.86456										846.63774														
26	0.208	-693.33728	1210.56116	885.41608	153.37091	3607.58545	807.20642													693.33728														
27	0.217	-693.34216	1210.54041	885.38434	153.58745	3607.34595	807.47729													693.34216														
28	0.225	-693.3266	1210.45642	885.40131	-549.63422	714.10309	999.56445	153.8497	3607.39673	807.82422										847.1763														
29	0.233	-693.36456	1210.46777	885.45099	-548.33728	714.65497	998.60022	154.24559	3606.93579	808.40295										847.61015														
30	0.242	-693.33374	1210.45325	885.45013	-546.55457	715.64819	997.70331	154.69185	3606.89697	808.59161										848.02559														
