Frame#	Time	M1			M2			M3			M4			M5			M6								
52.533		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	x3	y3	z3	x6	y6	z6
1308	10.892	-1426.18579	513.76428	1496.73425	-1580.4895	476.6145	1187.67322	-1279.59143	401.44351	1237.75488	-1398.45679	926.96692	1498.28625	-1545.15527	954.40436	1201.86389	-1234.31946	949.37189	1256.47778	146.59436	-112.32077	-258.97937	164.13733	22.40497	-241.80847
1309	10.9	-1425.4325	512.98816	1496.20178	-1580.53491	476.85013	1187.3988	-1279.7771	399.28265	1236.18091	-1398.62268	926.45233	1498.68188	-1545.75049	953.66315	1202.26025	-1234.73999	949.33801	1256.00769	145.6554	-113.70551	-260.02087	163.88269	22.88568	-242.67419
1310	10.908	-1425.20398	512.44965	1495.547	-1580.46252	476.8895	1187.1178	-1280.00659	397.03998	1234.66333	-1398.68774	925.8877	1498.80957	-1546.33423	952.99719	1202.66589	-1238.09888	950.66089	1256.24609	145.19739	-115.40967	-260.88367	160.58886	24.77319	-242.56348
1311	10.917	-1424.98645	510.2937	1494.95483	-1580.46094	477.01431	1186.68506	-1280.15051	394.60144	1233.17358	-1398.77417	925.48712	1499.0343	-1546.85352	952.45526	1203.18079	-1235.61279	949.49298	1255.34106	144.83594	-115.69226	-261.78125	163.16138	24.00586	-243.69324
1312	10.925	-1424.52039	509.52689	1494.47314	-1580.3125	476.92389	1186.44507	-1280.19153	391.89917	1231.66992	-1398.84839	924.74194	1498.86694	-1547.62549	951.89288	1203.70203	-1235.88879	949.41156	1254.94214	144.32886	-117.62772	-262.80322	162.9596	24.66962	-243.9248
1313	10.933	-1424.71948	510.43118	1495.50537	-1580.31079	476.93295	1186.16553	-1280.36792	389.69577	1229.91296	-1398.85999	924.16907	1498.96362	-1548.12646	951.11572	1204.1333	-1236.27795	949.57733	1254.68726	144.35156	-120.73541	-265.59241	162.58204	25.40826	-244.27636
1314	10.942	-1424.03137	510.11102	1493.84338	-1580.14026	476.74829	1185.89478	-1280.48132	387.06934	1228.15527	-1398.85107	923.59137	1499.19312	-1548.76233	950.57672	1204.57861	-1236.59863	949.75409	1254.38501	143.55005	-123.04168	-265.68811	162.25244	26.16272	-244.80811
1315	10.95	-1423.87585	509.65009	1493.40234	-1579.86865	476.43036	1185.56934	-1280.55164	384.32007	1226.37207	-1398.91809	923.20612	1499.73181	-1549.14807	949.86768	1204.8833	-1236.95325	949.78662	1253.97229	143.32421	-125.33002	-267.03027	161.96484	26.5805	-245.75952
1316	10.958	-1423.06201	507.3623	1492.6521	-1579.71631	476.01672	1185.24023	-1280.59009	381.5845	1224.61536	-1398.56543	922.86322	1499.96252	-1549.7323	949.05341	1205.28223	-1237.29407	949.87903	1253.62927	142.47192	-125.7778	-268.03674	161.27136	27.01581	-246.33325
1317	10.967	-1422.58838	506.61682	1492.32886	-1579.51282	475.59296	1184.87585	-1280.52112	378.6481	1222.54102	-1398.80994	922.11115	1500.08447	-1550.13916	948.3454	1205.52295	-1237.65393	950.02264	1253.31726	142.06726	-127.96872	-269.78784	161.15601	27.91149	-246.76721
1318	10.975	-1422.82312	507.07114	1493.7179	-1579.18042	475.03006	1184.72766	-1280.41809	375.74448	1220.44775	-1398.67126	921.38312	1499.79138	-1550.5896	947.81793	1205.89526	-1237.97681	950.02966	1252.74841	142.40503	-131.32666	-273.27015	160.69445	28.64654	-247.04297
1319	10.983	-1422.39685	507.11752	1492.0531	-1578.80127	474.48621	1184.4231	-1279.94336	372.64636	1218.33899	-1398.65503	920.99744	1499.89893	-1550.88684	947.28595	1206.25354	-1238.19641	950.07458	1252.28735	142.45349	-134.47116	-273.71411	160.45862	29.07714	-247.61158
1320	10.992	-1421.39246	504.92001	1491.2583	-1578.38391	473.99789	1184.15186	-1279.97693	370.22284	1216.32983	-1398.64258	920.51477	1500.16882	-1551.35376	946.4809	1206.58508	-1238.51697	950.47162	1252.02344	141.41553	-134.69717	-274.92847	160.12561	29.95685	-248.14538
1321	11	-1421.01709	504.25409	1491.02649	-1577.93713	473.53098	1183.90308	-1279.52222	367.18536	1214.26086	-1398.55188	920.14545	1500.60815	-1551.73071	945.96741	1206.96057	-1238.67664	950.46851	1251.4209	141.49487	-137.06873	-276.76563	159.87524	30.32306	-249.18725
1322	11.008	-1420.94739	504.49966	1489.58447	-1577.46191	472.80676	1183.54675	-1279.35303	364.68375	1212.35242	-1398.44116	919.58624	1500.66797	-1552.05859	945.33521	1207.2876	-1238.89612	950.78284	1250.93286	141.59436	-139.81591	-277.23205	159.54504	31.1966	-249.73511
1323	11.017	-1420.75854	505.27399	1490.39563	-1577.03357	472.01895	1183.23645	-1279.11389	361.96133	1210.38977	-1398.2782	919.09955	1500.84668	-1552.28772	944.60968	1207.73193	-1238.97021	950.93781	1250.52002	141.64465	-143.31266	-280.00586	159.30799	31.83826	-250.32666
1324	11.025	-1420.17419	503.47067	1488.87207	-1576.68518	471.26733	1182.95361	-1278.79712	359.11581	1208.4978	-1398.07458	918.48352	1500.98425	-1552.55933	943.89404	1208.19275	-1239.0083	951.08093	1250.10754	141.37707	-144.35486	-280.37427	159.06628	32.59741	-250.87671
1325	11.033	-1419.80432	502.82974	1488.40833	-1576.00562	470.33328	1182.63623	-1278.45483	356.22266	1206.47278	-1398.05786	917.99652	1501.18616	-1552.87415	943.25275	1208.56482	-1239.2063	950.89313	1248.86694	141.34949	-146.60708	-281.93555	158.85156	32.89661	-252.31922
1326	11.042	-1419.49622	502.27322	1488.11768	-1575.41943	469.57434	1182.30042	-1278.29541	353.26013	1204.28174	-1397.94055	917.31793	1501.52356	-1553.16003	942.72668	1208.98376	-1239.18994	950.99274	1248.57251	141.20081	-149.01309	-283.83594	158.75061	33.67481	-252.95105
1327	11.05	-1419.26965	501.8042	1487.91467	-1574.93042	468.73065	1181.98022	-1278.10254	350.15048	1201.91785	-1397.82007	916.81842	1501.94153	-1553.42822	942.07574	1209.42273	-1239.20251	951.05408	1248.30579	141.16711	-151.65372	-285.99682	158.61756	34.23566	-253.63574
1328	11.058	-1419.02051	501.26443	1487.65222	-1574.47644	467.91272	1181.73853	-1277.86157	346.85568	1199.46362	-1397.41199	916.55591	1502.25586	-1553.552	941.41217	1209.88135	-1239.09692	950.96484	1247.8855	141.15894	-154.40875	-288.1886	158.31507	34.40893	-254.37036
1329	11.067	-1418.70471	500.61417	1487.47876	-1573.79004	467.01276	1181.46228	-1277.70166	343.39896	1196.93884	-1397.17725	916.03265	1502.64844	-1553.6748	940.84052	1210.33667	-1239.11267	951.17712	1247.72351	141.00305	-157.21521	-290.53992	158.06458	35.14447	-254.92493
1330	11.075	-1418.16345	501.17804	1488.35657	-1573.01172	466.37531	1181.19763	-1277.50818	339.94452	1194.41565	-1397.21289	915.11469	1502.65833	-1553.65369	940.2901	1211.08386	-1239.02222	951.1991	1247.51453	140.65527	-161.23352	-293.94092	158.19067	36.08441	-255.1438
1331	11.083	-1417.85376	498.66037	1487.94775	-1572.349	465.67184	1180.9823	-1277.27893	336.58945	1191.84009	-1397.06055	914.33624	1503.09363	-1553.64673	939.69818	1211.67285	-1238.88013	951.10132	1247.23486	140.57483	-162.07092	-296.10766	158.18042	36.76508	-255.85877
1332	11.092	-1417.66028	498.138	1487.56921	-1571.65063	464.90482	1180.5824	-1277.06079	333.56583	1189.48987	-1396.56995	913.85852	1503.62927	-1553.79761	939.15149	1212.19397	-1238.81689	951.23376	1247.01917	140.59949	-164.57217	-298.07934	157.75306	37.37524	-256.6101
